cloud_pct,E_ideal,E_po,E_nn,eff_po,eff_nn
0.0000,34.4069,34.3841,34.3059,99.9337,99.7064
30.0000,28.6656,28.3845,28.5613,99.0196,99.6362
60.0000,24.1693,23.8046,24.0620,98.4911,99.5560
80.0000,20.2928,19.9694,20.1803,98.4061,99.4455
